entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan-11,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,112924,heuristic,0.8,"BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 105/2016/TT-BTC Hà Nội, ngày 29 tháng 06 năm 2016 THÔNG TƯ HƯỚNG DẪN HOẠT ĐỘNG ĐẦU TƯ GIÁN TIẾP RA NƯỚC NGOÀI CỦA TỔ CHỨC KINH DOANH CHỨNG K"
CoQuan-12,CoQuan,Ngân hàng,Ngân hàng,117310,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng "
NguoiKy-13,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng "
LinhVuc-14,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng "
LinhVuc-15,LinhVuc,Ngân hàng,Ngân hàng,117310,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng "
CoQuan-16,CoQuan,Kiểm toán,Kiểm toán,133858,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 05/2019/NĐ-CP Hà Nội, ngày 22 tháng 01 năm 2019 NGHỊ ĐỊNH Về kiểm toán nội bộ ________ Căn cứ Luật tổ chức Chính phủ ngày 19 tháng 6 năm 2015; "
LinhVuc-17,LinhVuc,Kiểm toán,Kiểm toán,133858,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 05/2019/NĐ-CP Hà Nội, ngày 22 tháng 01 năm 2019 NGHỊ ĐỊNH Về kiểm toán nội bộ ________ Căn cứ Luật tổ chức Chính phủ ngày 19 tháng 6 năm 2015; "
LinhVuc-18,LinhVuc,Chứng khoán,Chứng khoán,146468,heuristic,0.7,"CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 156/2020/NĐ-CP Hà Nội , ngày 31 tháng 12 năm 2020 NGHỊ ĐỊNH Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng kh"
NguoiKy-19,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,heuristic,0.75,"BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp "
LinhVuc-20,LinhVuc,"Kế toán, kiểm toán","Kế toán, kiểm toán",150974,heuristic,0.7,"BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp "
CoQuan-21,CoQuan,Quốc hội,Quốc hội,150974,heuristic,0.8,"BỘ TÀI CHÍNH CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021 THÔNG TƯ Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp "
NguoiKy-22,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,heuristic,0.75,"CHÍNH PHỦ _________ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc _________________ Số: 46/2023/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2023 NGHỊ ĐỊNH Quy định chi tiết thi hành một số điều của Luật Kinh doanh"
LinhVuc-23,LinhVuc,Bảo hiểm,Bảo hiểm,163441,heuristic,0.7,"CHÍNH PHỦ _________ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc _________________ Số: 46/2023/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2023 NGHỊ ĐỊNH Quy định chi tiết thi hành một số điều của Luật Kinh doanh"
NguoiKy-24,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 22/2023/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày "
NguoiKy-25,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,heuristic,0.75,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Luật số: 32/2024/QH15 LUẬT CÁC TỔ CHỨC TÍN DỤNG Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam; Quốc hội ban hành Luật Các tổ chức tín dụn
LinhVuc-26,LinhVuc,Tín dụng,Tín dụng,166170,heuristic,0.7,QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Luật số: 32/2024/QH15 LUẬT CÁC TỔ CHỨC TÍN DỤNG Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam; Quốc hội ban hành Luật Các tổ chức tín dụn
NguoiKy-27,NguoiKy,Đào Minh Tú,Đào Minh Tú,168220,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc ---------------------------- Số: 27 /2024/TT-NHNN Hà Nội, ngày 28 tháng 6 năm 2024 THÔNG TƯ Quy định về ngân hàng hợp t"
NguoiKy-28,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 43/2024/TT-NHNN Hà Nội, ngày 09 tháng 8 năm 2024 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 1"
LinhVuc-29,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 43/2024/TT-NHNN Hà Nội, ngày 09 tháng 8 năm 2024 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 1"
LinhVuc-30,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,177271,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 01/2025/TT-NHNN Hà Nội, ngày 29 tháng 4 năm 2025 THÔNG TƯ Quy định về cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụ"
CoQuan-31,CoQuan,Lao động - Thương binh và Xã hội,Lao động - Thương binh và Xã hội,185630,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 63/2025/TT-NHNN Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng n"
LinhVuc-32,LinhVuc,"Lao động, tiền lương, tiền công","Lao động, tiền lương, tiền công",185630,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 63/2025/TT-NHNN Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng n"
LinhVuc-33,LinhVuc,Lao động - Thương binh và Xã hội,Lao động - Thương binh và Xã hội,185630,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc Số: 63/2025/TT-NHNN Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư về quỹ tín dụng n"
NguoiKy-34,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,25692,heuristic,0.75,"LUẬT Ngân hàng Nhà nước Việt Nam ________________ Căn cứ Hiến pháp nước Cộng hoà xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Ngân hàng N"
DoiTuongApDung-35,DoiTuongApDung,Toàn quốc,Toàn quốc,25692,heuristic,0.7,"LUẬT Ngân hàng Nhà nước Việt Nam ________________ Căn cứ Hiến pháp nước Cộng hoà xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Ngân hàng N"
NguoiKy-36,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,27257,heuristic,0.75,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 44/2011/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2011 THÔNG TƯ Q uy định về hệ thống kiểm soát nội bộ và "
LinhVuc-37,LinhVuc,Quản lý dịch vụ tài chính và các quỹ tài chính,Quản lý dịch vụ tài chính và các quỹ tài chính,30402,heuristic,0.7,"BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 202/2012/TT-BTC Hà Nội, ngày 19 tháng 11 năm 2012 THÔNG TƯ Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiể"
LinhVuc-38,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,38128,heuristic,0.7,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 37/2014/TT-NHNN Hà Nội, Ngày 26 tháng 11 năm 2014 THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền "
NguoiKy-39,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 135 /2015/NĐ-CP Hà Nội, ngày 31 tháng 12 năm 2015 NGHỊ ĐỊNH Q uy định về đầu tư gián tiếp ra nước ngoài _____________ Căn cứ Luật Tổ chức Chính"
NguoiKy-40,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,heuristic,0.75,CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc __________________ NGHỊ ĐỊNH [1] Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán Nghị định số 156/2020/NĐ-CP ngày 31
